Name,Price,Sold,Date_Crawl,Link_Item
Áo polo nam thể thao thêu B PL13 chất cotton cá sấu co giãn 4c hàng có bigsize 35-90kg TN Officical,34.72,5,03/12/2022,https://shopee.vn/%08%C3%81o-polo-nam-th%E1%BB%83-thao-th%C3%AAu-B-PL13-ch%E1%BA%A5t-cotton-c%C3%A1-s%E1%BA%A5u-co-gi%C3%A3n-4c-h%C3%A0ng-c%C3%B3-bigsize-35-90kg-TN-Officical-i.220503755.15258172730?sp_atk=5b97c108-5d20-40f0-9984-2d77c7f98a56&xptdk=5b97c108-5d20-40f0-9984-2d77c7f98a56
Áo phông polo nam. áo thun nam trơn có cổ chất vải Cotton Cá Sấu dày dặn lên dáng cực chuẩn,40,62,03/12/2022,https://shopee.vn/%C3%81o-ph%C3%B4ng-polo-nam-%C3%A1o-thun-nam-tr%C6%A1n-c%C3%B3-c%E1%BB%95-ch%E1%BA%A5t-v%E1%BA%A3i-Cotton-C%C3%A1-S%E1%BA%A5u-d%C3%A0y-d%E1%BA%B7n-l%C3%AAn-d%C3%A1ng-c%E1%BB%B1c-chu%E1%BA%A9n-i.242001490.11097487760?sp_atk=ae793956-ac00-4324-8f89-4243876b159b&xptdk=ae793956-ac00-4324-8f89-4243876b159b
Áo Polo Nam Cổ Bẻ Thun Basic Cộc Tay Chất Cotton Co Dãn Thoáng Mát Phong Cách Trẻ Trung Thời Trang Zenkonu TOP NAM 230,42,8200,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-C%E1%BB%95-B%E1%BA%BB-Thun-Basic-C%E1%BB%99c-Tay-Ch%E1%BA%A5t-Cotton-Co-D%C3%A3n-Tho%C3%A1ng-M%C3%A1t-Phong-C%C3%A1ch-Tr%E1%BA%BB-Trung-Th%E1%BB%9Di-Trang-Zenkonu-TOP-NAM-230-i.16580482.16172489595?sp_atk=bec71e0f-b5e6-4b44-bd78-a582fd2fa767&xptdk=bec71e0f-b5e6-4b44-bd78-a582fd2fa767
Áo POLO mặt cười FREESIZE from thụng tay lỡ dáng UNISEX phù hợp cho cả nam và nữ,45,26,03/12/2022,https://shopee.vn/%C3%81o-POLO-m%E1%BA%B7t-c%C6%B0%E1%BB%9Di-FREESIZE-from-th%E1%BB%A5ng-tay-l%E1%BB%A1-d%C3%A1ng-UNISEX-ph%C3%B9-h%E1%BB%A3p-cho-c%E1%BA%A3-nam-v%C3%A0-n%E1%BB%AF-i.405527153.19928773132?sp_atk=c050b048-21ab-4d7c-9742-e5d5cb60d6a1&xptdk=c050b048-21ab-4d7c-9742-e5d5cb60d6a1
Áo polo Nam vải cá sấu Cotton xuất xịn. Áo polo chuẩn form. sang trọng. lịch lãm. form rộng..,45,1800,03/12/2022,https://shopee.vn/%C3%81o-polo-Nam-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-Cotton-xu%E1%BA%A5t-x%E1%BB%8Bn-%C3%81o-polo-chu%E1%BA%A9n-form-sang-tr%E1%BB%8Dng-l%E1%BB%8Bch-l%C3%A3m-form-r%E1%BB%99ng..-i.611073249.17422594139?sp_atk=f9996cc2-b54f-4bbb-9c73-e4dda49bb9b7&xptdk=f9996cc2-b54f-4bbb-9c73-e4dda49bb9b7
Áo Polo 2Hand Unisex Bigsize hàng loại 1 bao lỗi,49.000 - 69.000,12,03/12/2022,https://shopee.vn/%C3%81o-Polo-2Hand-Unisex-Bigsize-h%C3%A0ng-lo%E1%BA%A1i-1-bao-l%E1%BB%97i-i.223630497.9057101393?sp_atk=7866a295-7f62-4a14-8568-2b3f8ec33e25&xptdk=7866a295-7f62-4a14-8568-2b3f8ec33e25
Áo Polo Nam Nữ Form Rộng Chất Thun Mềm Mát Phong Cách In Hình Bé Khủng Long Con Hợp Thời Trang Kịp Xu Hướng TTQ0344,49.84,28,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-N%E1%BB%AF-Form-R%E1%BB%99ng-Ch%E1%BA%A5t-Thun-M%E1%BB%81m-M%C3%A1t-Phong-C%C3%A1ch-In-H%C3%ACnh-B%C3%A9-Kh%E1%BB%A7ng-Long-Con-H%E1%BB%A3p-Th%E1%BB%9Di-Trang-K%E1%BB%8Bp-Xu-H%C6%B0%E1%BB%9Bng-TTQ0344-i.25830326.13491682663?sp_atk=e38e6cbb-6180-4bd4-b353-b7d8fea6b97c&xptdk=e38e6cbb-6180-4bd4-b353-b7d8fea6b97c
Áo Polo Nam Nữ Form Rộng Chất Thun Mềm Mát Phong Cách In Logo Ngọn Núi Hoho Hợp Thời Trang Kịp Xu Hướng TTQ0336,49.84,50,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-N%E1%BB%AF-Form-R%E1%BB%99ng-Ch%E1%BA%A5t-Thun-M%E1%BB%81m-M%C3%A1t-Phong-C%C3%A1ch-In-Logo-Ng%E1%BB%8Dn-N%C3%BAi-Hoho-H%E1%BB%A3p-Th%E1%BB%9Di-Trang-K%E1%BB%8Bp-Xu-H%C6%B0%E1%BB%9Bng-TTQ0336-i.25830326.13091696868?sp_atk=89fb65c9-deca-4325-8426-f046cea12c07&xptdk=89fb65c9-deca-4325-8426-f046cea12c07
Áo polo nam áo thun nam cổ bẻ tay ngắn phối sọc kiểu dáng hàn quốc chất cotton co dãn thoáng mát PL3507,50.000 - 150.000,170,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-c%E1%BB%95-b%E1%BA%BB-tay-ng%E1%BA%AFn-ph%E1%BB%91i-s%E1%BB%8Dc-ki%E1%BB%83u-d%C3%A1ng-h%C3%A0n-qu%E1%BB%91c-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-PL3507-i.470249086.10312752173?sp_atk=3b7cd135-576f-4c07-b9f4-60de710ef213&xptdk=3b7cd135-576f-4c07-b9f4-60de710ef213
Áo polo nam áo thun nam có cổ tay ngắn phối vai đen trắng kiêu dáng hàn quốc chất cotton co dãn thoáng mát,50.000 - 150.000,873,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-c%C3%B3-c%E1%BB%95-tay-ng%E1%BA%AFn-ph%E1%BB%91i-vai-%C4%91en-tr%E1%BA%AFng-ki%C3%AAu-d%C3%A1ng-h%C3%A0n-qu%E1%BB%91c-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-i.470249086.8469100178?sp_atk=d2785fa0-e6a9-46ab-bf4b-9033b2100532&xptdk=d2785fa0-e6a9-46ab-bf4b-9033b2100532
